"Cap waktu","Jenis Kelamin","Usia Saat Ini","Daily_Screen_Time","Social_Media","Gaming","Work_Study","Sleep","Weekend_Screen_Time","Notifications","App_Opens","Strees_level","Addiction_label"
"2026/08/08 12:10:22 PM GMT+7","Laki - laki","23","7","5","4","4","7","12","64","40","Medium (Sedang / Kadang-Kadang Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/08 12:13:57 PM GMT+7","Perempuan","20","8","8","2","4","8","12","90","30","High (Tinggi / Sering Merasa Sangat Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/08 12:16:49 PM GMT+7","Laki - laki","28","8","5","2","8","7","13","50","35","Medium (Sedang / Kadang-Kadang Stres)","0 (Tidak / Pemakaian Normal)"
"2026/08/08 12:37:46 PM GMT+7","Perempuan","21","7","3","6","7","8","10","30","20","Low (Rendah / Jarang Merasa Stres)","0 (Tidak / Pemakaian Normal)"
"2026/08/08 12:43:13 PM GMT+7","Laki - laki","33","10","5","1","6","8","13","90","45","High (Tinggi / Sering Merasa Sangat Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/08 12:46:18 PM GMT+7","Laki - laki","25","10","6","4","5","6","13","85","50","Low (Rendah / Jarang Merasa Stres)","0 (Tidak / Pemakaian Normal)"
"2026/08/08 12:52:50 PM GMT+7","Perempuan","22","6","3","1","6","7","6","50","35","Medium (Sedang / Kadang-Kadang Stres)","0 (Tidak / Pemakaian Normal)"
"2026/08/08 12:58:22 PM GMT+7","Perempuan","35","6","2","1","6","8","7","70","30","Low (Rendah / Jarang Merasa Stres)","0 (Tidak / Pemakaian Normal)"
"2026/08/08 1:02:19 PM GMT+7","Laki - laki","19","8","4","6","6","6","13","55","15","High (Tinggi / Sering Merasa Sangat Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/08 1:06:33 PM GMT+7","Perempuan","19","7","5","2","7","7","14","65","30","High (Tinggi / Sering Merasa Sangat Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/08 1:11:24 PM GMT+7","Laki - laki","22","6","4","2","6","7","12","35","20","Medium (Sedang / Kadang-Kadang Stres)","0 (Tidak / Pemakaian Normal)"
"2026/08/08 1:27:15 PM GMT+7","Laki - laki","25","8","4","3","6","6","9","60","20","Low (Rendah / Jarang Merasa Stres)","0 (Tidak / Pemakaian Normal)"
"2026/08/08 1:32:23 PM GMT+7","Perempuan","22","9","6","0","6","8","10","85","25","Low (Rendah / Jarang Merasa Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/08 1:37:58 PM GMT+7","Perempuan","19","7","5","2","6","7","11","70","20","Medium (Sedang / Kadang-Kadang Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/08 1:38:14 PM GMT+7","Laki - laki","26","9","4","3","8","6","13","65","25","High (Tinggi / Sering Merasa Sangat Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/08 1:42:08 PM GMT+7","Laki - laki","24","6","3","5","6","6","10","75","30","Low (Rendah / Jarang Merasa Stres)","0 (Tidak / Pemakaian Normal)"
"2026/08/08 1:42:09 PM GMT+7","Laki - laki","21","6","4","6","6","7","13","50","25","High (Tinggi / Sering Merasa Sangat Stres)","1 (Ya / Terindikasi Kecanduan)"
"2026/08/08 1:54:30 PM GMT+7","Laki - laki","24","7","4","5","5","6","12","65","20","Low (Rendah / Jarang Merasa Stres)","0 (Tidak / Pemakaian Normal)"
"2026/08/08 2:31:33 PM GMT+7","Laki - laki","22","7","4","8","6","6","13","87","25","High (Tinggi / Sering Merasa Sangat Stres)","1 (Ya / Terindikasi Kecanduan)"
